hour,timestamp,event_type,description,duration
144,2023-01-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,7
288,2023-01-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,4
432,2023-01-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
503,2023-01-21 23:00:00,power_outage,Power outage for 1 hours,1
576,2023-01-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,11
720,2023-01-31 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,8
864,2023-02-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,11
938,2023-02-09 02:00:00,power_outage,Power outage for 1 hours,1
1008,2023-02-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,9
1152,2023-02-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,6
1296,2023-02-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
1427,2023-03-01 11:00:00,power_outage,Power outage for 1 hours,1
1440,2023-03-02 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,7
1584,2023-03-08 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,8
1728,2023-03-14 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,11
1872,2023-03-20 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,5
2016,2023-03-26 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
2160,2023-04-01 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,4
2304,2023-04-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,7
2448,2023-04-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,11
2592,2023-04-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,8
2736,2023-04-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
2793,2023-04-27 09:00:00,power_outage,Power outage for 4 hours,4
2880,2023-05-01 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,9
3024,2023-05-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,10
3168,2023-05-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,8
3312,2023-05-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,8
3456,2023-05-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,6
3600,2023-05-31 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,11
3744,2023-06-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,6
3888,2023-06-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,5
