hour,timestamp,event_type,description,duration
144,2023-01-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,11
288,2023-01-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,5
432,2023-01-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,8
576,2023-01-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,8
720,2023-01-31 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,8
864,2023-02-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,6
1008,2023-02-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,4
1152,2023-02-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,8
1296,2023-02-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
1440,2023-03-02 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,8
1584,2023-03-08 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,9
1728,2023-03-14 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,11
1872,2023-03-20 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,6
1949,2023-03-23 05:00:00,power_outage,Power outage for 4 hours,4
2016,2023-03-26 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,8
2160,2023-04-01 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,7
2249,2023-04-04 17:00:00,power_outage,Power outage for 1 hours,1
2304,2023-04-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,5
2382,2023-04-10 06:00:00,power_outage,Power outage for 2 hours,2
2448,2023-04-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,10
2592,2023-04-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
2736,2023-04-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,10
2880,2023-05-01 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,4
3024,2023-05-07 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,10
3069,2023-05-08 21:00:00,power_outage,Power outage for 1 hours,1
3168,2023-05-13 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,5
3312,2023-05-19 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
3456,2023-05-25 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,11
3600,2023-05-31 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,5
3744,2023-06-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,5
3888,2023-06-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,4
4032,2023-06-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
4176,2023-06-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
4320,2023-06-30 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,5
4464,2023-07-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,4
4608,2023-07-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,8
4752,2023-07-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
4896,2023-07-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,8
5040,2023-07-30 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,9
5184,2023-08-05 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,10
5238,2023-08-07 06:00:00,power_outage,Power outage for 8 hours,8
5328,2023-08-11 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,8
5472,2023-08-17 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
5616,2023-08-23 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,7
5760,2023-08-29 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,9
5804,2023-08-30 20:00:00,power_outage,Power outage for 3 hours,3
5904,2023-09-04 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,9
6048,2023-09-10 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,8
6192,2023-09-16 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,5
6336,2023-09-22 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
6480,2023-09-28 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,5
6624,2023-10-04 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,10
6768,2023-10-10 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,9
6912,2023-10-16 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
7056,2023-10-22 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,6
7189,2023-10-27 13:00:00,power_outage,Power outage for 4 hours,4
7200,2023-10-28 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,5
7344,2023-11-03 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,5
7431,2023-11-06 15:00:00,power_outage,Power outage for 1 hours,1
7488,2023-11-09 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,7
7632,2023-11-15 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,11
7776,2023-11-21 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,11
7920,2023-11-27 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,11
8064,2023-12-03 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,6
8208,2023-12-09 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,6
8352,2023-12-15 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,11
8496,2023-12-21 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,6
8640,2023-12-27 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,6
