hour,timestamp,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
0,2023-01-01 00:00:00,0.47620577973540307,1.0,0.5952572246692538,0.8,238,609.6,238,0.0,40.85273770585779,5.0,52.84597500010068,1.0,2,1.3343220098007422,0,0,1.0,0
1,2023-01-01 01:00:00,0.44046979781365575,1.0,0.5505872472670696,0.8,220,433.6,458,0.0,44.07511197977206,5.0,45.966272523531025,1.0002926118808169,2,1.4416985108857812,0,0,2.0,0
2,2023-01-01 02:00:00,0.5080939919074373,1.0,0.6351174898842966,0.8,255,229.60000000000002,713,0.0,52.47732842929284,5.0,50.7012857350669,1.0049465597523914,2,1.2490553490900087,0,0,3.0,0
3,2023-01-01 03:00:00,0.47094836582024213,1.0,0.5886854572753026,0.8,236,40.80000000000001,711,238.0,40.631698806459674,6.78468570200716,50.39284786852832,1.0055696678236892,2,1.3853740612298129,0,0,4.0,0
4,2023-01-01 04:00:00,0.4801107013810746,1.0,0.6001383767263432,0.8,51,0.0,542,458.0,42.25758675605171,9.88227415386891,49.96027940915623,1.0059969344955382,2,1.4115191756290584,0,0,5.0,0
5,2023-01-01 05:00:00,0.5866473279126484,1.0,0.7149645490784416,0.8205264564079595,0,0.0,287,713.0,46.70402096667472,5.0,48.32430618384103,1.0108102306065165,2,1.1075313624978569,0,0,6.0,0
6,2023-01-01 06:00:00,0.6410687336151766,1.0,0.7643783912017589,0.8386798227083391,0,0.0,51,949.0,61.8753402485818,11.27547357641243,51.385231966875054,1.0148872389479602,4,1.1090624821059876,0,0,7.0,1
7,2023-01-01 07:00:00,0.5502564372270103,1.0,0.6816312462288021,0.8072641039731717,0,0.0,0,1000.0,66.70662367491944,11.503172663959145,41.116219729585374,1.011935579420524,4,1.242928054373104,0,0,8.0,1
8,2023-01-01 08:00:00,0.5144540414373441,1.0,0.6430675517966801,0.8,0,0.0,0,1000.0,70.71742811249077,13.799930357387094,52.90691386915179,1.006345075841079,4,1.316648459668285,0,0,9.0,1
9,2023-01-01 09:00:00,0.656000512788552,1.0,0.7774461656629923,0.8437889872787865,0,0.0,0,1000.0,57.062359308376415,16.434144869281905,46.51328326091102,1.013117162971339,4,1.0883960096128722,0,0,10.0,1
10,2023-01-01 10:00:00,0.6822390109371551,1.0,0.8001344240438962,0.8526554919223507,0,0.0,0,1000.0,45.11543733415738,16.366422493178042,44.167906949392446,1.0196597876736968,4,1.0568784217321845,0,0,11.0,1
11,2023-01-01 11:00:00,0.7545219546142123,1.0,0.8609232389983934,0.876410254057064,0,0.0,0,1000.0,46.13200388582886,18.452902878208654,46.065770726850296,1.0210188070270962,4,0.9816212199138413,0,0,12.0,1
12,2023-01-01 12:00:00,0.8690753355850279,1.0,0.9484544381718217,0.9163068889847785,0,0.0,0,1000.0,49.25514698819316,16.926030020953423,44.273100265666685,1.0213051888730649,4,0.8896812406453771,0,0,13.0,1
13,2023-01-01 13:00:00,0.6750582799814193,1.0,0.7939572281904483,0.8502451467316217,0,0.0,0,1000.0,45.591965024922196,18.395591727906414,42.39976317082447,1.0259907342573784,4,1.0630700822043126,0,0,14.0,1
14,2023-01-01 14:00:00,0.5612295694342658,1.0,0.6923968849792418,0.8105605059894104,0,0.0,0,1000.0,34.60657665972814,17.576070267413257,47.5274571024399,1.0226133859702642,3,1.2182436359821165,0,0,15.0,2
15,2023-01-01 15:00:00,0.5373819123194093,1.0,0.6683448320092079,0.8040488780378656,0,0.0,0,1000.0,46.42650456798779,16.206319337491706,46.627362029720295,1.022480676441623,3,1.2613011744644773,0,0,16.0,2
16,2023-01-01 16:00:00,0.6381125908720894,1.0,0.7617702107763017,0.8376707067893928,0,0.0,0,1000.0,62.65927437898943,15.538696219442716,44.219681618670776,1.018585625743552,3,1.1059243752294035,0,0,17.0,2
17,2023-01-01 17:00:00,0.7315166884618665,1.0,0.8418328299668275,0.868957187724185,0,0.0,0,1000.0,63.57071806598807,11.783329558092031,51.665992256482326,1.0215429408536618,3,1.0001231091391434,0,0,18.0,2
18,2023-01-01 18:00:00,0.7402661735348797,1.0,0.8484523297739701,0.8724900003894014,0,0.0,0,1000.0,86.21796256169544,9.492870919818644,50.2991064027842,1.0184957362483376,3,0.9879734172143365,0,0,19.0,2
19,2023-01-01 19:00:00,0.5139302470356018,1.0,0.6422421891593313,0.8002125299621244,0,0.0,0,1000.0,58.17340601347308,8.361396084176015,52.790915523942935,1.0311061945873945,3,1.2883444290875015,0,0,20.0,2
20,2023-01-01 20:00:00,0.6386061665193878,1.0,0.761395326687336,0.8387313976535988,0,0.0,0,1000.0,71.17457483520778,6.432100891806952,53.13075924404842,1.0316409297818248,3,1.0540958166786565,0,0,21.0,2
21,2023-01-01 21:00:00,0.7450800751031478,1.0,0.8521704278149975,0.8743322354116018,0,0.0,0,1000.0,47.76462119089738,7.177683780189032,50.19796142886267,1.0391790737555338,3,0.9522534916316271,0,0,22.0,2
22,2023-01-01 22:00:00,0.4294023743649216,1.0,0.536752967956152,0.8,0,0.0,0,1000.0,64.58168599769134,5.0,48.84143710460546,1.04702948802441,2,1.4598293156788569,0,0,23.0,0
23,2023-01-01 23:00:00,0.39098009239872483,1.0,0.488725115498406,0.8,0,0.0,0,1000.0,58.79780993693726,5.0,50.13778354894167,1.044110068997753,2,1.6023028169097966,0,0,24.0,0
24,2023-01-02 00:00:00,0.502945941706712,1.0,0.6286824271333901,0.8,0,0.0,0,1000.0,53.10814120810312,5.0,50.00875153537444,1.0465654741906536,2,1.2448314002490324,0,0,25.0,0
25,2023-01-02 01:00:00,0.4721209584538514,1.0,0.5901511980673142,0.8,0,0.0,0,1000.0,54.03738821053125,5.0,53.07181400622082,1.037124553601259,2,1.3252903847893798,0,0,26.0,0
26,2023-01-02 02:00:00,0.5307792505962485,1.0,0.6608410437635555,0.8031874769360691,0,0.0,0,1000.0,45.35010346066457,5.0,57.01882627523075,1.0313649364358222,2,1.1827955958648901,0,0,27.0,0
27,2023-01-02 03:00:00,0.45939742460851446,1.0,0.5742467807606431,0.8,0,0.0,0,1000.0,52.98957139679449,5.0,52.45280739004648,1.0316968670598203,2,1.360317820723679,0,0,28.0,0
28,2023-01-02 04:00:00,0.5009895724001803,1.0,0.6262369655002253,0.8,0,0.0,0,1000.0,38.777745885308576,7.260893405351424,51.11639927252703,1.0297365932514981,2,1.2918957747856958,0,0,29.0,0
