hour,timestamp,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
0,2023-01-01 00:00:00,0.4815561453199607,1.0,0.597574609688696,0.8058510812077933,210,632.0,210,0.0,46.77363444751834,5.0,53.275358143279284,1.0,2,1.2992908809425632,0,0,1.0,0
1,2023-01-01 01:00:00,0.46922060055717046,1.0,0.5834291216215494,0.8042461083413966,278,409.6,488,0.0,45.04159013543185,5.0,54.31603960530088,1.0048043296258868,2,1.3299778507910813,0,0,2.0,0
2,2023-01-01 02:00:00,0.4333499722292595,1.0,0.5416874652865743,0.8,187,260.0,675,0.0,43.023750814001396,5.0,46.89092560905217,1.0098499953052686,2,1.431586501323273,0,0,3.0,0
3,2023-01-01 03:00:00,0.4619489760860554,1.0,0.5750650168719493,0.8032986923788451,245,64.0,710,210.0,33.41108229566596,5.0,55.94507434784693,1.0128561098219775,2,1.3476688378655453,0,0,4.0,0
4,2023-01-01 04:00:00,0.5010605061037993,1.0,0.619820901786422,0.8083956263166723,80,0.0,512,488.0,46.10182079965683,6.539962624543327,53.068382284890156,1.0190073934710933,2,1.2805168974872643,0,0,5.0,0
5,2023-01-01 05:00:00,0.4720326469936444,1.0,0.5865811432213841,0.8047184135537281,0,0.0,325,675.0,45.77704786971396,8.088878934051568,50.092028079474034,1.0194495204294771,2,1.3833463360325426,0,0,6.0,0
6,2023-01-01 06:00:00,0.623142622063993,1.0,0.7401883157915771,0.8418703845623228,0,0.0,80,920.0,62.17946625652347,10.217368553166796,50.21574834579337,1.0130866915312207,4,1.1182959365795582,0,0,7.0,1
7,2023-01-01 07:00:00,0.5555143374394352,1.0,0.6779715678895194,0.8193770413834824,0,0.0,0,1000.0,63.64871986443199,10.986227292320468,46.315497708738995,1.00953719304897,4,1.2217407693191729,0,0,8.0,1
8,2023-01-01 08:00:00,0.850758310731153,1.0,0.9286438713121065,0.9161297856077952,0,0.0,0,1000.0,65.56256345727864,11.146846832709114,52.90175462653461,1.0149944145151681,4,0.8704182529354727,0,0,9.0,1
9,2023-01-01 09:00:00,0.6580362572557427,1.0,0.7704019592275755,0.8541466560073477,0,0.0,0,1000.0,70.70048934116359,14.605901463948415,49.59249369398678,1.0098044036834108,4,1.073822801544711,0,0,10.0,1
10,2023-01-01 10:00:00,0.7740957982450651,1.0,0.8669776626415164,0.8928670617493675,0,0.0,0,1000.0,38.01592889451439,13.575564370901258,50.141471603069895,1.0050046112590223,4,0.9499685701983538,0,0,11.0,1
11,2023-01-01 11:00:00,0.6507813058724078,1.0,0.7641598259762195,0.8516298341659485,0,0.0,0,1000.0,40.476007804148345,18.60307817302626,44.957384035557695,1.0084163595249962,4,1.0812206521864753,0,0,12.0,1
12,2023-01-01 12:00:00,0.884542911213459,1.0,0.9553979902078209,0.9258371069223734,0,0.0,0,1000.0,39.56595991323091,18.984172271793966,43.20645914466161,1.014589792262504,4,0.8154017588163911,0,0,13.0,1
13,2023-01-01 13:00:00,0.8441200843987765,1.0,0.923373203614657,0.9141700030869051,0,0.0,0,1000.0,47.64506825543075,19.726681372858764,45.753482984710175,1.026142962474708,4,0.8742131913522707,0,0,14.0,1
14,2023-01-01 14:00:00,0.541240265126108,1.0,0.6637944506787035,0.8153732899886574,0,0.0,0,1000.0,46.520758301327184,17.129789855366706,47.19632043270484,1.0249377660978012,3,1.2423445728397715,0,0,15.0,2
15,2023-01-01 15:00:00,0.6272358002608394,1.0,0.7437159975180168,0.8433808098173179,0,0.0,0,1000.0,30.0,16.889479893096716,43.99459134674604,1.0217713190027347,3,1.1081473958526629,0,0,16.0,2
16,2023-01-01 16:00:00,0.8346652357503387,1.0,0.9158653462125507,0.9113405580874906,0,0.0,0,1000.0,83.23072854201419,11.532836881935898,47.68908728745123,1.0221083440701044,3,0.8817154518611934,0,0,17.0,2
17,2023-01-01 17:00:00,0.7334691881072535,1.0,0.8338583207786543,0.8796088853827617,0,0.0,0,1000.0,53.58040211140579,9.80955553599601,51.83703304473888,1.0252044611397702,3,0.9841590559193512,0,0,18.0,2
18,2023-01-01 18:00:00,0.8570299004004781,1.0,0.9337118895411891,0.917874035878036,0,0.0,0,1000.0,61.2221575469617,10.27843777046493,45.39031044594497,1.0266246315360663,2,0.8566662157863436,0,0,19.0,2
19,2023-01-01 19:00:00,0.7692907906941091,1.0,0.8637574979033132,0.8906328368338187,0,0.0,0,1000.0,61.126919521068004,8.409878914848651,51.18357317450004,1.0329104783294458,3,0.9341463255434459,0,0,20.0,2
20,2023-01-01 20:00:00,0.5803888854101591,1.0,0.703138505813275,0.825426115355268,0,0.0,0,1000.0,73.85747244797975,6.19812717580734,48.423914467603026,1.036351493592057,3,1.1116250023151337,0,0,21.0,2
21,2023-01-01 21:00:00,0.6609756612828203,1.0,0.7740773535357925,0.8538883850091313,0,0.0,0,1000.0,65.77985407225336,5.0,53.2616594536301,1.0406354333447252,3,0.9900665364565391,0,0,22.0,2
22,2023-01-01 22:00:00,0.474185801098658,1.0,0.5891114210798996,0.8049170057328519,0,0.0,0,1000.0,52.33127968677925,5.0,54.8991163930173,1.0424869753559938,2,1.300118212693113,0,0,23.0,0
23,2023-01-01 23:00:00,0.4305349358770835,1.0,0.5381686698463544,0.8,0,0.0,0,1000.0,61.4841881593007,5.0,51.05138866468801,1.0443331801567144,1,1.4223068343436875,0,0,24.0,0
24,2023-01-02 00:00:00,0.43013932644137487,1.0,0.5376741580517186,0.8,0,0.0,0,1000.0,54.746835810034135,5.0,55.11518946305939,1.036738314658623,1,1.422734458804251,0,0,25.0,0
25,2023-01-02 01:00:00,0.4141600172567362,1.0,0.5177000215709202,0.8,0,0.0,0,1000.0,54.424298367174,5.0,55.32905168204351,1.0317982082410537,2,1.476712731986792,0,0,26.0,0
26,2023-01-02 02:00:00,0.47958093377015726,1.0,0.595291438751496,0.8056237710657854,0,0.0,0,1000.0,38.89419914812031,5.0,50.78141055162423,1.0421286232715323,2,1.2834401945396123,0,0,27.0,0
27,2023-01-02 03:00:00,0.4889918893881584,1.0,0.6060524920948104,0.8068474195988635,0,0.0,0,1000.0,42.54029341431473,5.0,50.32755492988163,1.0398071404013896,2,1.259870724890374,0,0,28.0,0
28,2023-01-02 04:00:00,0.4193518763262352,1.0,0.524189845407794,0.8,0,0.0,0,1000.0,34.96570453565308,6.230469302692023,55.51727281590852,1.0358737902356592,2,1.484504180418465,0,0,29.0,0
29,2023-01-02 05:00:00,0.5550602920824612,1.0,0.6783673086127235,0.8182297186719861,0,0.0,0,1000.0,35.49895198483122,8.913299455280436,49.71994890366064,1.03676964087868,2,1.1904860264000194,0,0,30.0,0
30,2023-01-02 06:00:00,0.6280378506036666,1.0,0.7445029668600438,0.843566619018899,0,0.0,0,1000.0,53.20260597465212,9.810891700305694,53.64239883783925,1.0402741147483292,4,1.0933425802833887,0,0,31.0,1
31,2023-01-02 07:00:00,0.5584387545241727,1.0,0.6809965430799285,0.8200317023615622,0,0.0,0,1000.0,55.91340611771918,9.804756179771228,52.16532667307052,1.0407705830721512,4,1.1945064745945584,0,0,32.0,1
32,2023-01-02 08:00:00,0.8071103108014864,1.0,0.8937794948804421,0.9030306864552211,0,0.0,0,1000.0,59.48974639770634,14.517407763638259,45.13476774468933,1.0371268782821386,4,0.9005862750555264,0,0,33.0,1
33,2023-01-02 09:00:00,0.6886696800568466,1.0,0.7964214674266952,0.8647050691413384,0,0.0,0,1000.0,44.40022031380766,18.34266935342223,44.27691428445275,1.0418088550606257,4,1.02315666568764,0,0,34.0,1
34,2023-01-02 10:00:00,0.8128399123401829,1.0,0.8983887118211993,0.9047752956428035,0,0.0,0,1000.0,46.614032206697296,13.959077445498371,54.124351618605075,1.0481122461818349,4,0.8935082034782817,0,0,35.0,1
35,2023-01-02 11:00:00,0.7661431210995665,1.0,0.8604145106275334,0.8904349143772446,0,0.0,0,1000.0,45.39628380399459,18.772725889588866,44.354742491601534,1.0454392818888627,4,0.9442619889569202,0,0,36.0,1
36,2023-01-02 12:00:00,0.5741099386610513,1.0,0.6958746567587251,0.8250191799413493,0,0.0,0,1000.0,47.596303921481535,18.391977858854354,44.85045037755915,1.05,4,1.168726642162329,0,0,37.0,1
37,2023-01-02 13:00:00,0.735944256640418,1.0,0.8357354303019997,0.8805947791090759,0,0.0,0,1000.0,43.474033334295655,17.68098679401244,43.75753478428664,1.05,4,0.9725266802288092,0,0,38.0,1
38,2023-01-02 14:00:00,0.5108502828798968,1.0,0.630511660410011,0.8102154408178581,0,0.0,0,1000.0,52.745261864200124,18.398104092816848,48.26062265650019,1.05,3,1.2882598486358037,0,0,39.0,2
39,2023-01-02 15:00:00,0.5593574808521229,1.0,0.6816529606157975,0.820589820877189,0,0.0,0,1000.0,56.52135145273536,13.924897719775254,48.878143195056154,1.0442647481590508,3,1.1908564265477477,0,0,40.0,2
40,2023-01-02 16:00:00,0.7603168355672522,1.0,0.8556071537033494,0.8886284228414297,0,0.0,0,1000.0,88.81961763583661,14.002036849550608,45.30973976385066,1.0485427238073048,3,0.9481438028723921,0,0,41.0,2
41,2023-01-02 17:00:00,0.6285230708624707,1.0,0.7448082381996068,0.8438723400559756,0,0.0,0,1000.0,79.4178559154547,14.410875049791766,48.40930767430657,1.05,3,1.0885043592264487,0,0,42.0,2
42,2023-01-02 18:00:00,0.6699134177600071,1.0,0.781046704578844,0.8577123670488283,0,0.0,0,1000.0,73.51226200164595,8.720422577117883,50.94716872571506,1.05,3,1.023495369939214,0,0,43.0,2
43,2023-01-02 19:00:00,0.6806944766952092,1.0,0.7898013089114894,0.8618553413558505,0,0.0,0,1000.0,85.44304688378176,9.741640287501156,51.32768729129754,1.0437330426163367,3,1.0217267677570203,0,0,44.0,2
44,2023-01-02 20:00:00,0.5967578528063936,1.0,0.7178227669181416,0.8313442820551359,0,0.0,0,1000.0,60.51646467591299,5.176945839847795,55.60505664516004,1.0468351643898857,3,1.0554087031144137,0,0,45.0,2
45,2023-01-02 21:00:00,0.5681910778836102,1.0,0.6916546198595153,0.8214953845013249,0,0.0,0,1000.0,52.13897517775913,5.893583822932678,56.0568886676479,1.0498817698895697,3,1.1072231372213737,0,0,46.0,2
46,2023-01-02 22:00:00,0.41993207739435284,1.0,0.524915096742941,0.8,0,0.0,0,1000.0,56.952604316121366,5.0,55.35669039782064,1.05,2,1.4373860942105763,0,0,47.0,0
47,2023-01-02 23:00:00,0.4489867918996227,1.0,0.5600794798478208,0.8016483518046705,0,0.0,0,1000.0,57.367913340144554,5.0,52.830936183998055,1.0487107699362082,2,1.3462986434920508,0,0,48.0,0
48,2023-01-03 00:00:00,0.45913576066466427,1.0,0.5717895966231334,0.8029802629782379,0,0.0,0,1000.0,41.44109302163531,5.0,58.3308734573008,1.043298480227513,2,1.3179024549515872,0,0,49.0,0
49,2023-01-03 01:00:00,0.5374360580292774,1.0,0.660959328187307,0.8131151723105348,0,0.0,0,1000.0,35.49931813138943,5.0,53.104899662951226,1.0385608920967728,2,1.1393918445523321,0,0,50.0,0
50,2023-01-03 02:00:00,0.45224524807086747,1.0,0.563841105592733,0.8020792446401165,0,0.0,0,1000.0,39.87046629214554,5.0,49.54646806061309,1.0331063368435918,2,1.3348095794007786,0,0,51.0,0
51,2023-01-03 03:00:00,0.46728725608414706,1.0,0.5811672754264546,0.8040494980403988,0,0.0,0,1000.0,39.28534784049402,5.0,52.91602762580702,1.0461906722913008,2,1.2942047282666356,0,0,52.0,0
