hour,timestamp,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
0,2023-01-01 00:00:00,0.6782695595037315,1.0,0.7783675491907411,0.871400099103463,311,551.2,311,0.0,38.3551472234888,5.0,56.00319327024901,1.0,2,1.1807587657720657,0,0,1.0,0
1,2023-01-01 01:00:00,0.5792130570964091,1.0,0.6966902119855662,0.8313782038729274,277,329.6,588,0.0,47.951914665181484,5.0,53.60907563706324,0.9958527084918739,2,1.3129357950337852,0,0,2.0,0
2,2023-01-01 02:00:00,0.6015033791272716,1.0,0.7155484015810595,0.8406187167747191,285,101.60000000000002,873,0.0,45.14076389613389,5.0,53.85298616895368,0.9962887959903926,2,1.2781340220697721,0,0,3.0,0
3,2023-01-01 03:00:00,0.5802584535483764,1.0,0.6975812814205687,0.8318148278960786,127,0.0,689,311.0,44.88679140836179,5.0,51.4961464398392,0.9977463177413903,2,1.3121921720375491,0,0,4.0,0
4,2023-01-01 04:00:00,0.5829041985453983,1.0,0.6998334906122142,0.832918410399985,0,0.0,412,588.0,43.502319568701814,5.391759240360748,48.32564502676064,1.006804678758131,2,1.3183936792462891,0,0,5.0,0
5,2023-01-01 05:00:00,0.5724829954540819,1.0,0.6909377161648045,0.8285594809207544,0,0.0,127,873.0,36.79034128635281,7.026291776724134,47.0047000153554,1.0112838921899796,2,1.3694133198000398,0,0,6.0,0
6,2023-01-01 06:00:00,0.6602389475105649,1.0,0.7638933592241667,0.8643077460198418,0,0.0,0,1000.0,44.787903799844116,11.330821015493227,49.18704358922638,1.010821525824591,4,1.28448664090525,0,0,7.0,1
7,2023-01-01 07:00:00,0.7433985984542257,1.0,0.829338180014912,0.8963757082073069,0,0.0,0,1000.0,53.11211747549042,10.881246872392252,49.89108726578287,1.0135814329119983,4,1.182411598763713,0,0,8.0,1
8,2023-01-01 08:00:00,0.9430911292207378,1.0,0.974678193342491,0.9675923147378205,0,0.0,0,1000.0,41.313988652905984,11.365593432394821,55.972770494546694,1.0183367543921868,4,1.0054882302577508,0,0,9.0,1
9,2023-01-01 09:00:00,0.9800000000000001,1.0,1.0,0.9800000000000001,0,0.0,0,1000.0,65.3431508601248,16.17700572867227,41.978008613477954,1.0158069356881354,4,0.8473165672657003,0,0,10.0,1
10,2023-01-01 10:00:00,0.911855930517669,1.0,0.9529041504669957,0.9569230337288278,0,0.0,0,1000.0,50.43857949842764,18.66601821082215,47.71006100794634,1.0143300979789336,4,1.0272223999760524,0,0,11.0,1
11,2023-01-01 11:00:00,0.9800000000000001,1.0,1.0,0.9800000000000001,0,0.0,0,1000.0,38.04017545534733,17.26627171388911,49.531577880401265,1.0151807076484902,4,0.8927117359820355,0,0,12.0,1
12,2023-01-01 12:00:00,0.9238262812677218,1.0,0.9612870209815826,0.9610306402809755,0,0.0,0,1000.0,33.43597616334077,18.241828873616825,52.94464301857342,1.0167890926673884,4,1.0169929935043454,0,0,13.0,1
