hour,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
0,0.99,1.0,1.0,0.99,408,755.2,408,0,50.88,24.4,40.0,1.0,2,1.0,1,0,0.0,0
1,0.9896421759783115,1.0,0.999638561594254,0.99,420,503.20000000000005,828,0,51.81,27.4,41.6,1.01,2,1.0,0,0,1.0,0
2,0.9893160833473129,1.0,0.9993091750982959,0.99,427,247.00000000000006,1255,0,52.28,30.2,40.3,1.02,2,1.0,0,0,2.0,0
3,0.9890457527993006,1.0,0.9990361139386875,0.99,484,0.0,1331,408,51.35,31.9,39.4,1.04,2,1.0,0,0,3.0,0
4,0.9887817140411793,1.0,0.9987694081224033,0.99,433,156.4587474973435,1344,828,51.18,33.5,43.2,1.05,2,1.0,0,0,4.0,0
5,0.9885157005998011,1.0,0.9985007076765667,0.99,452,371.4675009644697,1369,1255,51.07,34.9,42.2,1.05,2,1.0,0,0,5.0,0
6,0.9882506708604719,1.0,0.9982330008691636,0.99,478,84.6675009644697,1363,1739,50.16,35.0,44.5,1.05,2,1.0,0,0,6.0,0
7,0.9880186131790017,1.0,0.9979985991707089,0.99,492,191.94532828799214,1422,2172,50.87,35.3,45.6,1.05,2,1.0,0,0,7.0,0
8,0.987755434107596,1.0,0.9977327617248445,0.99,412,348.464489773382,1382,2624,51.85,32.9,46.0,1.03,4,1.0,0,0,8.0,1
9,0.9875018423945476,1.0,0.997476608479341,0.99,525,33.46448977338201,1429,3102,52.61,31.7,46.5,1.04,4,1.0,0,0,9.0,1
10,0.9872123247635893,1.0,0.997184166427868,0.99,517,253.65431600321068,1454,3594,52.07,30.3,48.1,1.03,4,1.0,0,0,10.0,1
11,0.9869232888351203,1.0,0.9968922109445659,0.99,473,0.0,1515,4006,51.72,28.2,48.2,1.01,4,1.0,0,0,11.0,1
12,0.9865955923493093,1.0,0.9965612043932417,0.99,495,51.08663158443079,1485,4531,52.17,25.2,49.1,1.0,4,1.0,0,0,12.0,1
13,0.9862271043069347,1.0,0.996188994249429,0.99,403,355.76816692122475,1371,5048,52.21,23.2,50.1,1.02,4,1.0,0,0,13.0,1
14,0.9858748749983118,1.0,0.9958332070690019,0.99,511,49.16816692122478,1409,5521,52.85,19.9,51.0,1.01,4,1.0,0,0,14.0,1
15,0.9854185547350995,1.0,0.9953722775102015,0.99,476,229.68233830266553,1390,6016,52.84,17.7,49.0,1.01,4,1.0,0,0,15.0,1
16,0.9849134257711372,1.0,0.9948620462334719,0.99,382,0.48233830266553923,1369,6419,51.93,16.4,52.6,0.99,2,1.5,0,0,16.0,2
17,0.9843895986351331,1.0,0.9943329279142759,0.99,454,148.79207819790383,1312,6930,51.37,15.1,51.1,0.98,2,1.5,0,0,17.0,2
